                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 0.8753,                0.59932,                  1.004,                0.82433,                0.69331,                0.74983,                 0.4522,                 1.5076,                 1.0939,                 1.3917,             0.00034506,             0.00034506,             0.00034506
                     97,                0.90253,                0.62304,                  1.011,                0.77955,                0.69906,                0.73395,                0.45156,                   1.51,                 1.1109,                 1.4021,             0.00033906,             0.00033906,             0.00033906
                     98,                 0.9053,                0.61734,                 1.0134,                0.81262,                0.65137,                0.73036,                0.44205,                 1.5183,                 1.1424,                 1.4107,             0.00033306,             0.00033306,             0.00033306
                     99,                0.89105,                0.59686,                 1.0008,                0.79802,                0.70381,                0.74631,                0.44105,                 1.5181,                 1.1678,                 1.4079,             0.00032706,             0.00032706,             0.00032706
                    100,                0.87383,                0.58768,                0.99786,                0.83333,                0.69776,                0.76149,                0.46884,                 1.4951,                 1.1077,                 1.4026,             0.00032106,             0.00032106,             0.00032106
                    101,                0.89334,                 0.5769,                 1.0064,                0.82625,                0.71483,                0.76586,                0.46001,                 1.5088,                 1.1199,                 1.4079,             0.00031506,             0.00031506,             0.00031506
                    102,                0.88422,                0.59354,                 1.0014,                0.81219,                0.68867,                 0.7555,                0.44727,                 1.5125,                 1.0939,                  1.408,             0.00030906,             0.00030906,             0.00030906
                    103,                0.90014,                 0.5922,                 1.0056,                0.79556,                0.72103,                0.76979,                0.45751,                 1.5132,                 1.0837,                  1.422,             0.00030306,             0.00030306,             0.00030306
                    104,                0.90788,                0.59521,                 1.0075,                0.79944,                0.67691,                0.75198,                 0.4558,                 1.4942,                 1.1241,                 1.4116,             0.00029706,             0.00029706,             0.00029706
                    105,                0.92183,                0.59865,                 1.0036,                0.75552,                0.72619,                0.75609,                0.45662,                 1.5088,                 1.0885,                 1.4074,             0.00029106,             0.00029106,             0.00029106
                    106,                0.87764,                0.57356,                0.99761,                0.76389,                0.72504,                0.75017,                0.46028,                 1.5022,                 1.0975,                 1.4103,             0.00028506,             0.00028506,             0.00028506
                    107,                  0.866,                0.57031,                0.99711,                 0.7685,                0.70472,                0.75674,                0.44975,                 1.5048,                 1.0828,                 1.3942,             0.00027906,             0.00027906,             0.00027906
                    108,                0.86155,                0.56465,                0.98585,                0.83209,                0.64878,                0.74307,                0.45288,                 1.5088,                  1.139,                 1.4025,             0.00027306,             0.00027306,             0.00027306
                    109,                 0.8666,                0.56964,                0.99433,                0.78041,                0.70043,                0.74978,                0.45397,                 1.4919,                 1.0928,                 1.4005,             0.00026706,             0.00026706,             0.00026706
                    110,                0.85728,                0.57814,                0.99639,                0.81733,                0.67783,                0.74889,                0.45451,                  1.509,                 1.1076,                 1.4067,             0.00026106,             0.00026106,             0.00026106
                    111,                 0.8642,                0.57755,                 1.0027,                0.83694,                0.68638,                 0.7663,                0.46284,                 1.4808,                  1.067,                 1.3969,             0.00025507,             0.00025507,             0.00025507
                    112,                0.87873,                0.58107,                0.99671,                0.78122,                0.70263,                0.76183,                0.45865,                 1.4927,                  1.081,                 1.4012,             0.00024907,             0.00024907,             0.00024907
                    113,                0.83816,                 0.5554,                0.98362,                0.78471,                0.69002,                0.76386,                0.45405,                 1.4716,                 1.1003,                 1.3926,             0.00024307,             0.00024307,             0.00024307
                    114,                0.86234,                0.54623,                 0.9886,                0.79206,                0.69178,                0.76178,                0.46075,                 1.4949,                 1.0881,                 1.4002,             0.00023707,             0.00023707,             0.00023707
                    115,                 0.8517,                0.55638,                0.98858,                0.75696,                0.73336,                0.76504,                0.45822,                 1.4963,                 1.1107,                 1.4062,             0.00023107,             0.00023107,             0.00023107
                    116,                0.83483,                0.55209,                 0.9803,                0.81958,                0.69991,                0.76818,                0.46821,                 1.4831,                 1.1089,                 1.3971,             0.00022507,             0.00022507,             0.00022507
                    117,                0.86121,                0.56588,                  0.986,                0.76417,                0.71884,                0.75758,                0.45911,                 1.4855,                 1.0973,                 1.4021,             0.00021907,             0.00021907,             0.00021907
                    118,                0.84981,                0.54815,                0.97864,                0.81225,                0.69852,                0.76421,                0.45965,                 1.4999,                 1.0882,                 1.4142,             0.00021307,             0.00021307,             0.00021307
                    119,                0.81999,                0.53644,                0.98017,                0.83894,                0.68408,                0.76163,                0.46439,                  1.499,                 1.0976,                 1.4136,             0.00020707,             0.00020707,             0.00020707
                    120,                0.83169,                0.54532,                0.97325,                0.81558,                0.70025,                0.75742,                0.46555,                 1.4946,                 1.0867,                 1.4029,             0.00020107,             0.00020107,             0.00020107
                    121,                0.85044,                0.55494,                0.98158,                0.75077,                0.73795,                0.75844,                0.46279,                 1.5164,                 1.0781,                 1.4199,             0.00019507,             0.00019507,             0.00019507
                    122,                0.83735,                0.56263,                0.99587,                0.78256,                0.68195,                0.75024,                0.45967,                 1.4997,                 1.1006,                 1.4178,             0.00018907,             0.00018907,             0.00018907
                    123,                0.83552,                0.54416,                0.98044,                0.81995,                0.66232,                0.74573,                0.44805,                 1.5001,                 1.1174,                 1.4063,             0.00018307,             0.00018307,             0.00018307
                    124,                0.83722,                0.54567,                0.97882,                0.80963,                0.69349,                0.76049,                0.45968,                 1.4895,                 1.0784,                 1.3988,             0.00017707,             0.00017707,             0.00017707
                    125,                 0.8222,                0.54708,                0.97449,                0.80259,                0.68923,                0.75196,                0.45098,                  1.493,                 1.0942,                 1.3983,             0.00017107,             0.00017107,             0.00017107
                    126,                0.85061,                0.55639,                0.98478,                 0.8075,                0.66759,                0.74065,                0.44852,                 1.4904,                  1.091,                 1.3974,             0.00016507,             0.00016507,             0.00016507
                    127,                0.81751,                0.52915,                0.96819,                0.77054,                0.68603,                0.75263,                0.45718,                 1.4998,                 1.0902,                 1.4166,             0.00015907,             0.00015907,             0.00015907
                    128,                0.83414,                0.54726,                 0.9696,                0.80872,                 0.6778,                0.75424,                0.45727,                 1.5034,                 1.0976,                 1.4146,             0.00015308,             0.00015308,             0.00015308
                    129,                0.81667,                0.54184,                0.97366,                0.81105,                0.67425,                0.75694,                0.45598,                 1.4872,                 1.0691,                 1.4066,             0.00014708,             0.00014708,             0.00014708
                    130,                0.81082,                0.52891,                0.97295,                0.81755,                0.67355,                0.75674,                0.45608,                 1.4977,                 1.0754,                 1.4129,             0.00014108,             0.00014108,             0.00014108
                    131,                0.80389,                0.52677,                 0.9661,                0.75542,                0.71737,                0.74902,                0.45274,                  1.495,                 1.0927,                 1.4083,             0.00013508,             0.00013508,             0.00013508
                    132,                 0.7924,                0.51459,                0.96746,                  0.787,                0.69205,                0.75629,                 0.4573,                 1.4927,                 1.0838,                 1.4068,             0.00012908,             0.00012908,             0.00012908
                    133,                0.79958,                0.52748,                0.96606,                0.80994,                0.67047,                0.74967,                 0.4567,                 1.4942,                 1.0865,                 1.4074,             0.00012308,             0.00012308,             0.00012308
                    134,                0.79519,                0.51505,                0.96119,                0.81764,                0.66859,                0.75659,                0.44929,                 1.5028,                 1.0797,                 1.4163,             0.00011708,             0.00011708,             0.00011708
                    135,                 0.7867,                0.50949,                0.97096,                0.81277,                0.69066,                0.75725,                0.45422,                 1.5079,                 1.0795,                 1.4233,             0.00011108,             0.00011108,             0.00011108
                    136,                0.81163,                0.51895,                0.97355,                 0.8061,                0.69152,                0.75253,                0.44743,                 1.5132,                 1.0833,                 1.4266,             0.00010508,             0.00010508,             0.00010508
                    137,                0.79809,                0.52211,                 0.9633,                0.78951,                0.69266,                0.74687,                0.45248,                 1.5085,                 1.0931,                 1.4234,             9.9081e-05,             9.9081e-05,             9.9081e-05
                    138,                0.81591,                0.51952,                0.97367,                0.81657,                0.66568,                0.74621,                0.45676,                 1.5003,                 1.1207,                  1.414,             9.3082e-05,             9.3082e-05,             9.3082e-05
                    139,                0.79812,                0.51882,                0.96332,                 0.8385,                0.66585,                0.75664,                 0.4635,                 1.4916,                 1.0976,                 1.4027,             8.7082e-05,             8.7082e-05,             8.7082e-05
                    140,                0.78171,                0.50487,                0.95736,                0.80311,                0.69055,                 0.7651,                0.46911,                 1.4933,                 1.0797,                  1.409,             8.1083e-05,             8.1083e-05,             8.1083e-05
                    141,                0.80343,                0.51531,                0.96426,                0.76593,                0.70127,                0.75054,                0.45814,                 1.5068,                 1.0938,                 1.4213,             7.5083e-05,             7.5083e-05,             7.5083e-05
                    142,                0.77608,                0.49016,                0.94113,                0.77609,                0.68682,                0.74422,                0.44719,                 1.5246,                 1.0956,                 1.4445,             6.9084e-05,             6.9084e-05,             6.9084e-05
                    143,                0.75603,                0.46568,                0.93075,                0.81433,                 0.6551,                0.74415,                0.45014,                 1.5205,                 1.0908,                 1.4461,             6.3085e-05,             6.3085e-05,             6.3085e-05
                    144,                0.74142,                0.45817,                 0.9312,                0.81244,                0.66248,                0.74404,                0.44939,                 1.5156,                 1.0995,                 1.4483,             5.7085e-05,             5.7085e-05,             5.7085e-05
                    145,                0.74301,                0.45307,                0.92881,                0.77403,                0.67224,                0.73916,                0.45307,                 1.5196,                 1.0899,                 1.4531,             5.1086e-05,             5.1086e-05,             5.1086e-05
                    146,                0.71749,                0.44397,                0.92384,                 0.7852,                0.68318,                0.74332,                0.45422,                 1.5142,                 1.0796,                  1.446,             4.5086e-05,             4.5086e-05,             4.5086e-05
                    147,                0.73341,                0.44669,                0.93491,                0.79385,                0.67703,                0.74789,                0.45557,                 1.5106,                 1.0712,                 1.4405,             3.9087e-05,             3.9087e-05,             3.9087e-05
                    148,                0.71969,                0.43813,                0.92849,                0.79139,                0.68429,                0.75377,                0.45847,                  1.507,                 1.0689,                 1.4342,             3.3088e-05,             3.3088e-05,             3.3088e-05
